GENE	exp_0_smpl_0	exp_1_smpl_0	exp_2_smpl_0	exp_3_smpl_0	exp_4_smpl_0	exp_5_smpl_0	exp_6_smpl_0	exp_7_smpl_0	exp_8_smpl_0	exp_9_smpl_0	exp_10_smpl_0	exp_11_smpl_0	exp_12_smpl_0	exp_13_smpl_0	exp_14_smpl_0	exp_15_smpl_0	exp_16_smpl_0	exp_17_smpl_0	exp_18_smpl_0	exp_19_smpl_0	exp_20_smpl_0	exp_21_smpl_0	exp_22_smpl_0	exp_23_smpl_0	exp_24_smpl_0	exp_25_smpl_0	exp_26_smpl_0	exp_27_smpl_0	exp_28_smpl_0	exp_29_smpl_0	exp_30_smpl_0	exp_31_smpl_0	exp_32_smpl_0	exp_33_smpl_0	exp_34_smpl_0	exp_35_smpl_0	exp_36_smpl_0	exp_37_smpl_0	exp_38_smpl_0	exp_39_smpl_0	exp_40_smpl_0	exp_41_smpl_0	exp_42_smpl_0	exp_43_smpl_0	exp_44_smpl_0	exp_45_smpl_0	exp_46_smpl_0	exp_47_smpl_0	exp_48_smpl_0	exp_49_smpl_0	exp_50_smpl_0	exp_51_smpl_0	exp_52_smpl_0	exp_53_smpl_0	exp_54_smpl_0	exp_55_smpl_0	exp_56_smpl_0	exp_57_smpl_0	exp_58_smpl_0	exp_59_smpl_0	exp_60_smpl_0	exp_61_smpl_0	exp_62_smpl_0	exp_63_smpl_0	exp_64_smpl_0	exp_65_smpl_0	exp_66_smpl_0	exp_67_smpl_0	exp_68_smpl_0	exp_69_smpl_0	exp_70_smpl_0	exp_71_smpl_0	exp_72_smpl_0	exp_73_smpl_0	exp_74_smpl_0	exp_75_smpl_0	exp_76_smpl_0	exp_77_smpl_0	exp_78_smpl_0	exp_79_smpl_0	exp_80_smpl_0	exp_81_smpl_0	exp_82_smpl_0	exp_83_smpl_0	exp_84_smpl_0	exp_85_smpl_0	exp_86_smpl_0	exp_87_smpl_0	exp_88_smpl_0	exp_89_smpl_0	exp_90_smpl_0	exp_91_smpl_0	exp_92_smpl_0	exp_93_smpl_0	exp_94_smpl_0	exp_95_smpl_0	exp_96_smpl_0	exp_97_smpl_0	exp_98_smpl_0	exp_99_smpl_0
argR	0.8918109666493206	0.229449236591039	0.7911473432886023	0.697097142932452	0.11515288955569195	0.3886970738636761	0.11508596499932146	0.4369751683274046	0.6490703925437666	0.6039712043902049	0.33075090742062196	0.1947730829251663	0.6499992319412882	0.6294706623326901	0.27851163267059575	0.6931887710329466	0.6924653778769209	0.4269770277451617	0.8537083962105039	0.7941105196377602	0.3403007252261614	0.9046268240625464	0.5074021233179316	0.6059651429492606	0.9198180781695048	0.2626305939844355	0.8314856259217956	0.8458331113630901	0.27225258362981525	0.43041021976585503	0.9589438859334736	0.34941012892060425	0.9497396664753495	0.3215337052432598	0.8922033651892343	0.3232342588683579	0.6955438913227638	0.41832907594666463	0.17807231834097012	0.3607437969708346	0.9682665236960918	0.17449254385661706	0.46924112423048225	0.19094931974860116	0.37182082648103865	0.03969958916892722	0.8954838410333503	0.7975974212853506	0.26551021367825595	0.1730587266444503	0.25708288332887436	0.7779926313300292	0.2462267529287431	0.5118154771631924	0.4687101337936982	0.8573611130175266	0.36636451534548614	0.4377851095279368	0.5255022183986087	0.9975849129481728	0.19703035674295252	0.9570708820876047	0.9826526220110692	0.9196043252706682	0.8393506528815503	0.411278284404824	0.337381187050139	0.7263271946400731	0.23543077193260253	0.7647592090845692	0.09140490988936971	0.6927265439049508	0.6790071416306586	0.707393591837078	0.5854308797891162	0.9687000696146608	0.5006085290158011	0.8901874750717266	0.5443759379465173	0.16108183320828962	0.8948266221079594	0.5927042119809488	0.7245058803489915	0.297205516576676	0.7129241492912658	0.2660335201475467	0.6551501559593383	0.1406238457825602	0.24256045361206655	0.43407222412536	0.7655705369705166	0.9483303065947566	0.3102427336264507	0.7648297478826637	0.384260080188777	0.6522987701621175	0.47140666711376294	0.042744169776038385	0.3152228267030517	0.17280906077251015
fur	0.1299160901313554	0.07440658173265251	0.6404141685577033	0.9463423523909418	0.3923402479252209	0.690739951771335	0.3240472284096044	0.928819612757105	0.6239455895884597	0.7492353652243585	0.490498853578945	0.8655874305094026	0.13206645925991015	0.10287972758329517	0.6891790532014509	0.8501236925083342	0.20989325907702397	0.7280249063450355	0.5503857016182861	0.6113509054272632	0.7248086831398469	0.05442454440331691	0.9900050096484122	0.17778777621121486	0.3738758554868742	0.30151568924438804	0.544590088805777	0.11674303457475087	0.889823762512227	0.7543044577678514	0.04452424899897891	0.8868828519243633	0.5231482685328683	0.17369894668742175	0.4819615017474874	0.8846403107318666	0.1823096238576729	0.05259778019871016	0.5548758804179375	0.033312091304089964	0.7535870092182848	0.29271946950873046	0.6614044062958819	0.2644384001304937	0.6158658112784438	0.8840073468934532	0.11663810281899648	0.8940410972920606	0.3565692690512179	0.637585885192771	0.2919026022374259	0.4517150513713681	0.31014790949886795	0.6256971347029369	0.7787309216475524	0.718136043675799	0.4466026569887471	0.9789020545910242	0.2862134310018327	0.8094456283387724	0.19241562727691536	0.8002873886157298	0.9902224617151989	0.6361181274992745	0.4760981493117377	0.8712319917046313	0.1988234123627601	0.6453965087307214	0.429488188548262	0.6687424120597976	0.9092492664761928	0.4457446773292382	0.6499992850821931	0.5533020823751155	0.14580217453752367	0.03666633530645861	0.9466283366490708	0.8571409542531672	0.9856134850496308	0.9942407729772935	0.43014120864539507	0.64608151303369	0.5531799605101676	0.5079612616901922	0.927117893722606	0.7889044493602964	0.29003516161365606	0.15697759253131185	0.21712972546613568	0.6733769956792134	0.5556198980313081	0.5332706823904464	0.2580749239188624	0.08426814831874856	0.35927229932780214	0.7037005203806516	0.045598061951273895	0.21732234266887623	0.8658586840027643	0.7938742283020942
fecIR	0.9888893614501311	0.9973545823884824	0.18053205784159623	0.023157223311540992	0.602702590644742	0.21608790337313294	0.7083184687061086	0.027408120211865596	0.2218672195251417	0.15219121585464457	0.33567882646568875	0.05057213204877387	0.9756824515555069	0.9930936738222805	0.2291439264611214	0.05987854087639511	0.94930517200708	0.1297830096678578	0.36608545275432675	0.22940006327807327	0.09813345808469881	0.9992694757508049	0.0023234802557438165	0.9686819585266497	0.6538960698355544	0.8231018895746538	0.363284006429343	0.987895495401889	0.04962279233645157	0.12056307608813217	0.9995460332913726	0.03573423857294999	0.3473949453108313	0.9535358937032076	0.4247946473583891	0.04622428406475902	0.9512947102277446	0.9992575212656628	0.32831636163684075	0.9998902175846099	0.08699705058260698	0.8158644350686647	0.1777535278531259	0.8333810407489184	0.2594719637990049	0.038987078814307685	0.993234908736466	0.04327011433364757	0.6172902052485155	0.16435113958625933	0.8380012028877137	0.5001355025321382	0.7571274827613285	0.2119236234740158	0.06773461667362789	0.150689144301846	0.5348517892822864	0.005633798728348931	0.800232457779598	0.1071915923470419	0.9589689561558572	0.08917798083084692	0.002826854377483587	0.25285575333496374	0.4656879561049527	0.045748829861254905	0.9141361134369165	0.2636645596479688	0.4768711680910818	0.18996831085300458	0.024145016027398637	0.5170036927949913	0.2327236651137475	0.35744473263867016	0.9692834269317293	0.999717736557518	0.026925696540348015	0.055993803338315995	0.003440198201480946	0.001372692811869298	0.5711026148657978	0.23272263369131826	0.39826840056635504	0.3483259182375816	0.020255746246616906	0.09562252296653485	0.7361773919133663	0.9831549124974333	0.8822701596256434	0.22011689622254346	0.27834207022158464	0.325227040785541	0.8968564461804893	0.9960972879884148	0.687817426672539	0.11768940907222075	0.9995673282277094	0.9502551610307022	0.08456447665624371	0.08739145874205859
nlpD_rpoS	0.9876269845400474	0.0213710410234346	0.12189789773535772	0.23603224952926236	0.510680290782261	0.36433752561522637	0.11762931532330564	0.348405304687908	0.09644009163217523	0.2814744897205512	0.9464213302423903	0.379229646681368	0.6342048187273054	0.8080374757813095	0.2879472142798951	0.8236507148009554	0.9146745991974136	0.835039587144954	0.2795966959095022	0.9617445715399151	0.7219264796766552	0.4802795507358745	0.5922948791856366	0.6891665588088493	0.8578603880023784	0.3671332821282399	0.3084512875929505	0.4879441863163843	0.4982022725998375	0.8642308839256444	0.45095518971265425	0.31826285248819747	0.7980858109081048	0.22791061992187658	0.4413984184939822	0.15179178349896427	0.7154614748180986	0.6545109097513281	0.6198225785470297	0.9514629691627107	0.6411102552468363	0.04298898831117028	0.3382133437330751	0.768069655377971	0.7161771732476128	0.7070014552476754	0.21137692404448633	0.935834056559887	0.9121726758408628	0.5843490469602207	0.10527595743612181	0.6663717334601291	0.06871560039282539	0.05480219522121176	0.15914587672261213	0.006473686458310852	0.6539961163525527	0.21942455124609386	0.953186541302312	0.1024858886989136	0.31058746287553196	0.6931793131555611	0.6029252476622308	0.23685837693552547	0.6770609985377841	0.7985355553240533	0.14674319769982722	0.06683493173065945	0.9840782906720512	0.37430484750454157	0.02744061139569901	0.5631055348196708	0.7869348389363788	0.9819788597110483	0.6820692041593345	0.4692045078449001	0.8560606349248295	0.2532466299083746	0.7407069930866569	0.4344948710576063	0.963366199581674	0.019831359972318826	0.5741377413130359	0.6066584388742734	0.8288500163124678	0.06465764857779399	0.9458973878080142	0.8567005046214978	0.10456626622354243	0.873591799820114	0.9920624281733157	0.7681826661208838	0.8093530581353106	0.04193585535060651	0.5805161791753615	0.5643051597098285	0.8447128280112505	0.8502786578087775	0.06621104031692654	0.5195287759291701
dps	0.0035442002658959983	0.9999460306673049	0.990205046230003	0.9174399088725195	0.3884617294183977	0.6031407189584248	0.9910049432090641	0.7041424392459339	0.9933968760264805	0.8256696146991422	0.016640130952459007	0.7246345543922588	0.19454002719573138	0.09974417247366851	0.7953910935299384	0.07422148155414743	0.03189007691686662	0.04874709355413933	0.7952229500991832	0.00915464372095783	0.12891090342369774	0.5424741963905435	0.22921690908386	0.12484378716424833	0.04487623594053508	0.6787830861443198	0.6480445627947964	0.3788920459105399	0.3886368083351087	0.041366083263691934	0.46592116926201194	0.7763829502367039	0.08273258460101224	0.8832566234193001	0.5988065090338223	0.9762998161284222	0.15113227249926225	0.17184939745242267	0.18627482354300165	0.01369934657118995	0.18908666807418684	0.9994771830150171	0.7438063741504285	0.08842488434416013	0.14646144097184172	0.17298676685878758	0.9413267196357892	0.021532808138589772	0.02435520972255245	0.2996940483805811	0.9919306270424517	0.20871595121614905	0.9974565495619274	0.9990952282496567	0.9773995785342275	0.9999995	0.17570601259176183	0.9284701876484015	0.010943160634165715	0.9918887946797592	0.7534763382560893	0.16109640516414236	0.2578515988102504	0.9009851899513127	0.18664661787968617	0.09095158252957647	0.956831361397875	0.9982802002720725	0.0040424874893372036	0.6548244879700802	0.999877034995656	0.3024281065272889	0.0643810404290703	0.004943812159026301	0.11620670660177825	0.4303158936111653	0.03369104324059357	0.836101404333169	0.12235984628996419	0.48186200519590283	0.010498809069042919	0.9999564736557005	0.3083291475537178	0.2610267802121933	0.08694008344113827	0.9978174793210737	0.01998442378615256	0.041629678311330916	0.9907607952765479	0.0279583699141209	0.001773649737485337	0.09528768781556209	0.10072782042257869	0.9995925144358699	0.27790053397243913	0.3012367207636695	0.03952570969364237	0.035650543437089066	0.9973487402328468	0.34630693072422836
crp	0.8023856905326826	0.16989609358416408	0.04306959417615024	0.9110352876823266	0.08619399137923102	0.6759843120478028	0.42494994039496903	0.9753195805393079	0.7220820289862954	0.22037917418046182	0.2668036121730494	0.49510810308146563	0.36796778012867665	0.769962723516411	0.9621806801116518	0.48377049730687327	0.20128454541372676	0.937647280470882	0.5507928374780493	0.55601418392816	0.5233864884480253	0.33807718671465536	0.11887544212368638	0.19564421849436767	0.7859679221962681	0.6687093515506145	0.4853726379361234	0.8798502194419647	0.3827101494936429	0.9187616414029932	0.7796795871650612	0.23529885975144554	0.2172965735365166	0.5498509798058905	0.3980468448379887	0.87054290894684	0.023608199040683342	0.8887232921582046	0.25134773298695734	0.5698025217536246	0.137462359469384	0.8015791656094454	0.4789995077121412	0.7090864849527794	0.7956452669654563	0.960536413187648	0.5521196413148504	0.9785274686618854	0.115222271516756	0.3816844570916114	0.2715937797922261	0.775857181850718	0.6510640892184838	0.9676020348999939	0.41934289399951036	0.9385062445771147	0.7839397911155361	0.972691929547756	0.516424203578881	0.9643440680098854	0.721114747351823	0.238682949854684	0.41190808571397225	0.1349690147228761	0.6499998572778178	0.19610649368028904	0.3936675293906503	0.19585557093252112	0.03221325588299712	0.6463209744876467	0.6994538536089447	0.1680900746903492	0.3568870143090634	0.6071916997721349	0.5631250459507298	0.9394998640442945	0.9409852668048755	0.43555619667217854	0.7481254348519308	0.734415234249799	0.6938603352834408	0.8467640716054504	0.8954789442007643	0.6178981803748931	0.9482948976879586	0.45162849156796203	0.9843971868703452	0.010445572473759471	0.7461598415594988	0.9552762589474377	0.33825885518431303	0.39198740618587596	0.3837681686565179	0.5126401719398775	0.009687336589340246	0.41209170186284355	0.97900693967212	0.1119370798653509	0.6960946058510876	0.7279268372470993
caiTABCDE	0.18966305370809539	0.9213527186343152	0.9967215523934305	0.05737098183180157	0.9685526028157528	0.2813999474742533	0.5558375692973899	0.016300845174098653	0.19057226861315513	0.7734927719001595	0.744811002020647	0.47146859209297987	0.6889883500053084	0.19079426616873968	0.022862880823396332	0.5375057795720997	0.897495717152755	0.025885834407231717	0.397541068575512	0.4965077805216781	0.49253323126224957	0.7190788999023885	0.9695739893708448	0.9088068932565022	0.13390505733482508	0.2735828367129355	0.5195993330355113	0.1081231660238457	0.7038573318505797	0.0710060984900233	0.1511437504122424	0.9559635765389661	0.8970182888694302	0.40986427480854215	0.5686232223706876	0.09246977592188617	0.9992212646200564	0.06499414334186056	0.802373148372294	0.3540798239618027	0.9616994298201097	0.1114912765942642	0.4949978074160633	0.2213509200209483	0.12373090000466198	0.01877603356067777	0.3805994998636181	0.010412387132213213	0.9775018306089669	0.6735296501230947	0.8677069700529327	0.15431417540438855	0.3452745311160692	0.023769852233987365	0.6444672226582087	0.03130780279098709	0.14678234053029854	0.01673851612629588	0.4786455008397923	0.02786505561962098	0.17575930786001848	0.8540944871909043	0.5016564016858781	0.9468079997537789	0.28652387358089226	0.8927078048426599	0.6499995680586612	0.9135809107579714	0.9983544523500385	0.2639936504297722	0.32649228029473465	0.8893389178767951	0.6394260551364152	0.29945588684128893	0.3565017337238584	0.041296116067715306	0.03311342698924212	0.5757432820600554	0.12471098491695073	0.19175754250049545	0.23445562347278986	0.09023643456767236	0.08830342192560395	0.2929439840123152	0.041354850191800636	0.46077923734651494	0.007831179140619465	0.9998597607822282	0.14963781097306159	0.039843027443282594	0.7377401564860616	0.6141552020418061	0.6517381793909781	0.43336651840613927	0.9998583833260146	0.6168976606456944	0.010926583138217927	0.968530334162085	0.2632929030027346	0.20549363906739435
glpR	0.34047580882341244	0.10706298381512257	0.4234298490136531	0.3144217969602768	0.3499865927966049	0.5162735729595048	0.634465319577208	0.5469638338055492	0.74349065336881	0.32742581320060726	0.33396140025970705	0.6499997099980382	0.08366937944939734	0.3766913417326218	0.8871483608235458	0.911641532178269	0.16431306224016518	0.4522479275107607	0.4151321498175619	0.8335281024050593	0.5024837395165429	0.5699241356594416	0.7090350250283842	0.10744095793374159	0.7875121759418865	0.313055570493606	0.9009894181009889	0.9147727630039348	0.3929048268835924	0.6125128115219572	0.8567051122389493	0.9231684235562696	0.6402485303413936	0.5158127183549461	0.4467474747717265	0.1462202579310793	0.058677376952238465	0.2541340554274034	0.6042487655356713	0.5943445448338006	0.621473528989741	0.8148795066934676	0.3718375898111668	0.5039068155814174	0.545402121851247	0.37503493380395325	0.9292883835110846	0.9266911643994805	0.9586771987845578	0.8361165287848557	0.23340253454329243	0.45635001729656444	0.7115349616966203	0.6499996692439646	0.2990590184035141	0.3320369438352743	0.6691854653773481	0.6477642616902353	0.03346778011618897	0.12447985240289389	0.17881790765567215	0.4232908079630615	0.7947993226602712	0.8613557618453979	0.8061205856107099	0.012292953734408444	0.247676710228833	0.8048441896085993	0.29716492024371544	0.6736754958910098	0.44112619030733147	0.8828060875396893	0.48562125567755615	0.5925599775148715	0.8575079806873288	0.7901520582319767	0.7264814909629536	0.03266700783223273	0.53212218817741	0.7798584714840433	0.9024387380897367	0.16372636626500472	0.4970277251501769	0.4691906792708043	0.33012188015194366	0.5478468844875977	0.8465342598908134	0.05744097669435903	0.2569629769525942	0.28060523483412386	0.9087987002153974	0.7502704681122628	0.29142161851917536	0.8136779528108893	0.11121184561401835	0.0819992871609285	0.6016128773925239	0.7128984217428966	0.5288281526462516	1.8471746802424082E-4
glpACB	0.7118947974310285	0.9930256413156585	0.5331682303452313	0.7501365610732423	0.6613795156130372	0.2789406242313328	0.250771169080251	0.28073101266130535	0.10062717250038038	0.7345622072005716	0.7248473521572394	0.1273118861647088	0.9938730827380187	0.6791852790997118	0.06714478355616074	0.014143446693453066	0.9597530265152853	0.409860033404694	0.5238465144830006	0.053953685904091234	0.529794306600737	0.28264569169407205	0.1100561885078257	0.9884215261846625	0.04833499587142707	0.7718498982180105	0.02857867717155767	0.023513883406753127	0.5924678394804077	0.2086739963287355	0.05781900487564809	0.0211932843459813	0.23606947682395735	0.39426881154779436	0.4447233087867782	0.9726938240782126	0.9982253419453987	0.8508085135688398	0.281526451937546	0.264589461792068	0.21019831109203502	0.06419872040287278	0.5507863340168054	0.3606941863860387	0.2715668700916691	0.5551670907850296	0.02230487823418073	0.022347224791739128	0.009734736359608882	0.03345718236805915	0.865006034648892	0.4217283041542258	0.10706654246427214	0.18566153969735924	0.8184122614700953	0.5850545699110545	0.1546720763317713	0.24837097029993438	0.9998083323246947	0.9829844541576869	0.9518003170489077	0.4809201960208864	0.0952808990374945	0.0663064794134579	0.10442070117671413	0.9999995	0.8996773232236975	0.10243420399875773	0.8940987554454809	0.17952727276681715	0.5494889702096383	0.03140410386439335	0.47467220223418616	0.33095130031002956	0.03376240252694434	0.06756358993018857	0.08868536326626876	0.9998525894094765	0.2947458412618788	0.08224390983497881	0.024810475322820588	0.9707858689534473	0.4799069051218009	0.5202175843864557	0.6346762012104958	0.23953804202806936	0.0376979848780246	0.9990897965274845	0.8458375064408861	0.6910749412314685	0.019375761581030215	0.08691391633921887	0.777897348538326	0.039426899948556034	0.9901711107840455	0.994544764236148	0.19802155859464943	0.1762034573941116	0.29068158599094013	0.9999995
alkA	0.0052504780873198235	0.9995051686868279	0.9612504798746438	0.7835738256344374	0.40742660755455584	0.550813129873681	0.9712770717148899	0.7124946506568461	0.9737673424076351	0.8876189019520048	0.02805262842761306	0.6684640286112213	0.2847072860553447	0.13459191403361953	0.7869330837867146	0.09505593030052997	0.04441101752777213	0.0748933287591083	0.747340112237544	0.019280402357709253	0.1928000763869218	0.5035096067056225	0.2805655778825094	0.15537313778094977	0.06692507824969485	0.636187715225657	0.7943791872215606	0.4737559516607548	0.4263912549711738	0.06561704201885964	0.3683460528694503	0.7252200283276529	0.13642962168485578	0.8654933860284949	0.6117303881449532	0.9596772776012845	0.18420897563798605	0.23569648674640173	0.23735194976560148	0.023268998808749275	0.28879582412063376	0.9972594082220738	0.6500004441966835	0.14557852178101624	0.19178572336019795	0.24315474091501296	0.8904323432880116	0.03703390383645304	0.037814318197558844	0.31509972398116726	0.978099390886969	0.26369175293969316	0.9915705351163737	0.9959001566122698	0.9460698150568521	0.9999724522848128	0.24247872925280367	0.7956260618870158	0.021179860259219755	0.9764723433772916	0.6363369865265818	0.21701349173369644	0.30509392170839783	0.8490322830423565	0.2571790191514647	0.13218614936923812	0.9466348597944249	0.9932507515062452	0.006423384441706554	0.6086559898261633	0.9990832597382534	0.3346392133511091	0.0850619884962062	0.01022622338019205	0.15832240244860593	0.506326625835267	0.061034306276998726	0.8522814150836135	0.1450333408108332	0.4947775849694077	0.017426394047155146	0.9995797478201153	0.3589706500933166	0.3225849723814137	0.12509413764703362	0.9923896112070447	0.03512262103566657	0.06794027295461387	0.973383581980083	0.052516498178704525	0.0036668204154543327	0.1475665452012021	0.15106807243284223	0.9977314705568772	0.31610611820343326	0.381712537971743	0.06330039211525933	0.05694772731735564	0.9910337550774528	0.3976446900481458
