GENE	exp_0_smpl_0	exp_1_smpl_0	exp_2_smpl_0	exp_3_smpl_0	exp_4_smpl_0	exp_5_smpl_0	exp_6_smpl_0	exp_7_smpl_0	exp_8_smpl_0	exp_9_smpl_0	exp_10_smpl_0	exp_11_smpl_0	exp_12_smpl_0	exp_13_smpl_0	exp_14_smpl_0	exp_15_smpl_0	exp_16_smpl_0	exp_17_smpl_0	exp_18_smpl_0	exp_19_smpl_0
argR	0.8918109666493206	0.22944923659103897	0.7911473432886024	0.6970971429324521	0.11515288955569195	0.3886970738636761	0.11508596499932146	0.4369751683274046	0.6490703925437666	0.6039712043902049	0.330750907420622	0.1947730829251663	0.6499992319412882	0.6294706623326901	0.2785116326705957	0.6931887710329465	0.6924653778769209	0.42697702774516183	0.8537083962105038	0.7941105196377602
fur	0.12991609013135538	0.07440658173265252	0.6404141685577031	0.9463423523909418	0.3923402479252209	0.6907399517713347	0.3240472284096045	0.9288196127571049	0.6239455895884597	0.7492353652243584	0.4904988535789451	0.8655874305094023	0.13206645925991015	0.10287972758329518	0.689179053201451	0.8501236925083342	0.20989325907702397	0.7280249063450354	0.5503857016182861	0.6113509054272633
fecIR	0.9888893614501311	0.9973545823884824	0.18053205784159654	0.023157223311540992	0.602702590644742	0.21608790337313302	0.7083184687061085	0.02740812021186565	0.22186721952514174	0.15219121585464462	0.3356788264656885	0.05057213204877396	0.9756824515555069	0.9930936738222805	0.22914392646112117	0.05987854087639511	0.94930517200708	0.12978300966785777	0.3660854527543267	0.22940006327807316
nlpD_rpoS	0.9876269845400474	0.0213710410234346	0.12189789773535771	0.23603224952926233	0.5106802907822611	0.36433752561522637	0.11762931532330564	0.34840530468790804	0.09644009163217523	0.28147448972055117	0.9464213302423903	0.379229646681368	0.6342048187273054	0.8080374757813095	0.28794721427989506	0.8236507148009555	0.9146745991974136	0.8350395871449539	0.2795966959095022	0.9617445715399151
dps	0.003544200265895998	0.9999460306673049	0.990205046230003	0.9174399088725196	0.38846172941839746	0.6031407189584248	0.9910049432090641	0.7041424392459339	0.9933968760264805	0.8256696146991424	0.016640130952459007	0.7246345543922588	0.19454002719573138	0.0997441724736685	0.7953910935299385	0.07422148155414733	0.03189007691686662	0.048747093554139385	0.7952229500991831	0.009154643720957832
crp	0.8023856905326827	0.16989609358416408	0.04306959417615024	0.9110352876823266	0.08619399137923102	0.6759843120478027	0.424949940394969	0.9753195805393079	0.7220820289862954	0.22037917418046185	0.2668036121730494	0.49510810308146563	0.36796778012867665	0.7699627235164109	0.9621806801116518	0.4837704973068734	0.20128454541372673	0.937647280470882	0.5507928374780493	0.55601418392816
caiTABCDE	0.1896630537080953	0.9213527186343152	0.9967215523934305	0.05737098183180157	0.9685526028157528	0.28139994747425356	0.5558375692973901	0.01630084517409865	0.19057226861315515	0.7734927719001595	0.7448110020206469	0.4714685920929798	0.6889883500053083	0.19079426616873968	0.02286288082339633	0.5375057795720993	0.897495717152755	0.025885834407231714	0.397541068575512	0.4965077805216781
glpR	0.34047580882341244	0.10706298381512258	0.42342984901365305	0.3144217969602768	0.34998659279660493	0.5162735729595048	0.6344653195772079	0.5469638338055492	0.7434906533688099	0.3274258132006072	0.33396140025970705	0.6499997099980382	0.08366937944939733	0.37669134173262175	0.8871483608235458	0.911641532178269	0.1643130622401652	0.45224792751076065	0.41513214981756186	0.8335281024050593
glpACB	0.7118947974310285	0.9930256413156585	0.5331682303452315	0.7501365610732424	0.6613795156130371	0.27894062423133287	0.25077116908025116	0.28073101266130535	0.1006271725003805	0.7345622072005716	0.7248473521572394	0.12731188616470876	0.9938730827380187	0.679185279099712	0.06714478355616069	0.014143446693453065	0.9597530265152853	0.40986003340469396	0.5238465144830006	0.05395368590409118
alkA	0.005250478087319824	0.9995051686868279	0.9612504798746438	0.7835738256344378	0.4074266075545556	0.550813129873681	0.9712770717148899	0.712494650656846	0.9737673424076351	0.8876189019520048	0.028052628427613052	0.6684640286112213	0.2847072860553447	0.13459191403361953	0.7869330837867146	0.09505593030052997	0.04441101752777213	0.07489332875910841	0.7473401122375439	0.019280402357709257
fnr	0.25684685769004384	0.04303270162612243	0.18883215353209212	0.7164122939631201	0.8959294452094015	0.7965762001201608	0.7146971035870732	0.6411738702689582	0.3171291613980215	0.3164920401932204	0.2483090424696978	0.22910782932727086	0.09574230048653615	0.9860461384165052	0.09039732609417209	0.47376221035586313	0.703603963684889	0.3044387689341981	0.9922156162474042	0.9141555430234813
arcA	0.9758093788934109	0.9999995	0.9927356396596696	0.17352085638359144	0.08035328839446255	0.13045013354616686	0.1807194933619978	0.34740708586778113	0.9492041829975775	0.9359968997804269	0.9793575112585966	0.9813488576467052	0.999760928267674	0.006654664737693978	0.9998053462729716	0.7851571636593287	0.2665554587336785	0.9469893428561218	0.0030377897104319107	0.04626371909152229
uhpT	0.1743642027954785	0.936630377131582	0.9986642194538379	0.05283262947085154	0.9875547657718565	0.25594706571773695	0.6399077840208124	0.017269014468411024	0.18048609635236748	0.8988116397111984	0.8379825747135984	0.5729222822658552	0.7235979476654548	0.20220423738510146	0.02455979441570117	0.5768304793105962	0.9003678757800193	0.02977315952023706	0.43279238808765125	0.4733791015432876
malI	0.517267929653238	0.9088489667771569	0.7447834510752253	0.95821911943994	0.1018511211087473	0.3597621050257928	0.43687795939949825	0.8041232329312467	0.3003343962832796	0.18854938297471796	0.92526412018295	0.9453691894058553	0.29923533717673834	0.30190708031343866	0.04498937070320253	0.943765278609216	0.13053145119852091	0.4969391981653742	0.8849510058089495	0.8447635785703661
rob	0.713829421985681	0.06095088113547745	0.36982149724117974	0.017494732121314745	0.5325435382069104	0.6576139949759805	0.9772991234751179	0.7734024802499976	0.5344894718890172	0.2813301542398628	0.6425103285308261	0.7481546470247805	0.2347029304400016	0.5782196263753685	0.465320699646522	0.10039962984116806	0.3478623462018694	0.7128096259195843	0.4873979011609591	0.6389494790014549
fumC	0.26920966785979433	0.998985650702694	0.6829285727637376	0.9999681063394547	0.4320545701866619	0.2407017753999606	0.01045592939890741	0.17529475305594475	0.45797004747266196	0.827985208603719	0.3382876027012028	0.08920540296586724	0.9152382463170503	0.4319820432739562	0.5748349635347829	0.9949655629892252	0.8131609452007985	0.17306110587553866	0.450264888239099	0.3030705835848002
cysB	0.7225913688674991	0.7179348411235331	0.7708950489605652	0.09727886286650572	0.1622241724586801	0.08858615487550556	0.4794522010560793	0.7856250325700005	0.38939480552845107	0.4412543965661901	0.5879808815533798	0.020929208571725953	0.29545313892580255	0.2705906874705734	0.042596217559237516	0.007497363825711279	0.8182738134074719	0.9806857499731899	0.1690912087834107	0.33322858167293407
cysJIH	0.17673425301363618	0.16277246228600736	0.1702326928045762	0.9981914607460445	0.9836437486200803	0.9987281373507179	0.6314992062638906	0.16077127381291642	0.7797199555628582	0.5964139300480907	0.3786069556060102	0.9999995	0.8551079672538414	0.9546499305746651	0.9998909251219111	0.9999995	0.09867489278311777	0.010053570499104797	0.9844511289684017	0.850733296382073
tnaLAB	0.9430408610882571	0.02767304765791796	7.146103539761848E-5	0.9864535187999126	0.0020095605784529753	0.8993215994714994	0.5153882640071124	0.9958342098125108	0.9104622548602558	0.058505014142680535	0.15513592344056906	0.6561130051678132	0.4000592541610861	0.9612596736791386	0.9946239164725001	0.5907915969731098	0.047396199449151875	0.9933030217844061	0.7617277263894112	0.720889636557375
rpiR_alsBACEK	0.015833715026106032	0.656377423572094	0.18031674801723385	0.40844314815805194	0.19410778165022888	0.32437146581111487	0.5343528146014194	0.020392215041852894	0.11499479128629762	0.5425819228729416	0.41145633665246756	0.6649487912975662	0.3850192922541249	0.23873758685290358	0.8240266100652895	0.32218839669848837	0.3326043520866034	0.8209004013087356	0.2841884930216457	0.007564798914713943
caiF	0.8247677143932133	0.007942441091612587	1.5033193364027386E-5	0.97386534846562	6.383221320587858E-4	0.7226633256034459	0.33274204631847526	0.9904148643249493	0.8909865521163084	0.01828970748201313	0.05373157565488205	0.46283254054846307	0.16797488868885813	0.8454186646590356	0.9847848285012866	0.30806708154725343	0.013171746286877126	0.9829351162106417	0.5193223091017549	0.47750281780760145
fepB	0.9777253136839038	0.9934886214157058	0.2556621094949705	0.040183573553998965	0.6171167257381893	0.33878531713653703	0.6983132394163055	0.05879647301413861	0.2936724312843478	0.22084253210472726	0.5431432654299916	0.08745697536038131	0.9653962230137574	0.9808142915037986	0.28749672897959644	0.10108681464971338	0.9109305310986768	0.19534110050177547	0.4252157916268032	0.3197600006319409
acs	0.0019863719020200995	0.9999694824371338	0.9914367782771125	0.8895612983723475	0.3121519278710172	0.5216960853351951	0.9911338123467014	0.5741916574563166	0.9939250030726504	0.7924410655501455	0.010472120736490812	0.6182759123633566	0.15058625692983452	0.05788052567818361	0.7740153023788954	0.04202772004167468	0.01825515372755528	0.028049635484849414	0.8123950907953772	0.0056483450838436715
himA	0.299558680977734	0.6271292587822088	0.9450078854522758	0.2982276381170921	0.7806378416191834	0.650000009237673	0.17396533324374933	0.24996520165208488	0.22495426045180722	0.3733961037639033	0.62469260247132	0.14535211620916122	0.5987380491947506	0.14656002457044157	0.2977260359050062	0.3233221023455084	0.8264133578940345	0.9185693511025287	0.589473387720247	0.7307885658569339
ompR_envZ	0.8068457825876746	0.16280909032346078	0.015438483444507753	0.7528098486481711	0.05579447914495294	0.1875452094200399	0.9684123336595469	0.8474128237790338	0.9260798955937971	0.596348392019945	0.1493100148499958	0.9755016016789704	0.19819285023602795	0.9777035744355932	0.8239101078117483	0.7342313032586284	0.05390202789309	0.018090313548920947	0.22190372177322754	0.07706231391890986
fhlA	0.10918818592577427	0.4210783098016802	0.7833798297258261	0.3161087784143797	0.09150272449355275	0.28616298018377734	0.3055907287858462	0.3855707542772572	0.4332151887500973	0.43522698278753397	0.3140665025097707	0.22836191571614786	0.5952845803629975	0.918720147087617	0.5612216621962772	0.5807485646671152	0.690159662865986	0.0727597653801251	0.23406943265423877	0.8415978380752894
fdhF	0.996912579648459	0.6859734905946356	0.09609050394543622	0.7977282164547804	0.998129606847277	0.9371271091336836	0.8067998923396992	0.7432978544056327	0.5849083641918863	0.5963147679767984	0.8580726105364347	0.925173878076154	0.24714827178754212	0.037009946117172926	0.300082470243425	0.32326214868914777	0.1689798653901209	0.9991427081897514	0.9451904304399412	0.054206847718148224
narGHJI	0.8273730318595247	0.21827667164989792	0.028861549856412566	0.8389850830977161	0.07527066922243092	0.23918566172504652	0.9673108533049687	0.8904871891295074	0.9322938954261699	0.6699523281170923	0.1901972713780654	0.9764797807284707	0.31577357423223174	0.9820570328098854	0.844731497448966	0.7292744352188473	0.08711830176307665	0.030427297269912053	0.299473956434184	0.11530296970688547
glnALG	0.20865932574319945	0.631103193525395	0.7982701463610546	0.6501659525916389	0.2758708264227107	0.40587202688166163	0.12921945124398165	0.08812103246448254	0.06098892675707836	0.4316459874761526	0.4440246265522556	0.7975127604407078	0.760435324808006	0.9134265634595	0.9526075975537684	0.8193641297784042	0.8813343449855999	0.3567641312064341	0.5705189257285407	0.24890724332346306
nac	0.05551809043976243	0.6080364927897207	0.8753665481326601	0.8536313318968098	0.14650178595519667	0.30413860626926764	0.011169088839735367	0.003699568024017148	0.0012620763433342681	0.2897399207770768	0.3498152033447278	0.9094136771121456	0.7973076560626267	0.9397193205122025	0.9589372477368795	0.8981451354050922	0.8972893457089822	0.21010748824592657	0.6203121914552103	0.0778226547373241
metR	0.8812374857130028	0.15679441720244372	0.6426876203964266	0.5757250056648352	0.6469444479835369	0.5839751432849899	0.6870636468744987	0.5828237300432881	0.45198482099634274	0.8993331991771426	0.026574395136405228	0.4985065597585073	0.13119823013760454	0.3285365254023116	0.20389217952952768	0.4612025160114643	0.8288202388866708	0.49966536923396615	0.1971756319618827	0.8242028929453775
metH	0.0336817672482711	0.9865089790482025	0.16954515500736939	0.3165406686145586	0.18002313894648045	0.2536700162471207	0.19698009558146845	0.234150635933138	0.5853644076000809	0.024970057660561585	0.9999995	0.48755481235642967	0.995733956594568	0.7790724608476605	0.9689813879303572	0.5304620548600594	0.04031928320743686	0.38293330861205827	0.9780862291191117	0.04846748962442179
osmY	0.005722425192017417	0.999594764154897	0.9740066231597913	0.8494172540385361	0.42125020235829724	0.6087701591301435	0.9740441801288078	0.7316504044805329	0.9812069980783537	0.9028633828957636	0.028799042635792662	0.6862758756494609	0.2740516758089693	0.1314299081285276	0.8074079116955014	0.09766880205400622	0.04757562212430533	0.080300448951041	0.7569731207512038	0.016801768600927094
rpoE_rseABC	0.020483524197687557	0.9360557304367181	0.9030577097372181	0.07460056793694714	0.4504008068555259	0.11737964222340444	0.6573090992057858	0.06798117804894388	0.7397327468608281	0.43892757164223195	0.7656847628893311	0.474148173236186	0.6610809652452309	0.8661529767335364	0.3907547163458517	0.9790864780180242	0.6744001122754205	0.07550371181886777	0.9614947764765341	0.3967553571701902
ecfI	0.9999995	0.017190951367875226	0.04276005828623863	0.9997983390960338	0.6105584476346275	0.9982419585774238	0.24637508706832903	0.9998720283388304	0.12085998241811806	0.6680975639866598	0.13483369231200376	0.5947991174539925	0.2666290595639623	0.08051778880138676	0.8346426128548152	0.007589391474255774	0.28282929501977094	0.9997991156354489	0.010954943427757324	0.7291810517270535
cpxAR	0.005893014652519238	0.9996070680400359	0.9714255360354697	0.8335493112050129	0.4129385288212111	0.5663456706003623	0.9773113557781575	0.7051379186223293	0.9839879319720853	0.8818829221939687	0.02974459130890139	0.7100699170178157	0.2749523185580241	0.145590141502941	0.7914344467079979	0.1021546025340832	0.051065114289534225	0.08882478165061891	0.7708295190072656	0.019873955432516115
rpoH	0.8848649611069946	0.7600530355383104	0.3678653748156519	0.41897463365056287	0.6537277412097732	0.5699026917521449	0.11444362653689619	0.22178764691429115	0.5518990655414815	0.837774068620971	0.8688353705457931	0.8034710919745676	0.2749792768576156	0.04384658373317178	0.16346974919663812	0.7310524559307549	0.5215389512090153	0.8794679552791729	0.5149934633311328	0.286543117906466
htpG	0.0787433641235714	0.11009476743052678	0.8371391629285984	0.6716559739908498	0.23642977479839908	0.4503666492556962	0.9978787216294548	0.9719888298376638	0.5168002467037064	0.07421393894966384	0.0637119530634921	0.05403275342454531	0.9448888293076031	0.9999502828626632	0.9898720925037033	0.19980307035124167	0.5644663609970306	0.04808205252337913	0.5408813607192914	0.866156121322534
deoR	0.4452833212530913	0.006817422197699321	0.5960906599651993	0.304115127809973	0.8104608035037707	0.8682609143178968	0.7179748231099606	0.50110800584171	0.09225099781927115	0.3155534068095353	0.7504006245515047	0.13701301370223817	0.8780886305370139	0.22805572658721304	0.15060892699130246	0.8105945653318025	0.6398620357457834	0.10969703177123095	0.17700430348719637	0.07327700058252043
nupG	0.6299679620697648	0.9999995	0.3583720736148902	0.8793879701029135	0.10467921294690839	0.07399906695020472	0.20290356187462472	0.5061279468821499	0.9953176237892858	0.856971936295463	0.17591401724656153	0.9901244370753483	0.07517420524809358	0.9576413385690445	0.9789333385480499	0.10256091849649845	0.3548546446921402	0.9932434637947625	0.929972427470544	0.9976743194747398
oxyR	0.4668706870288836	0.30017761816615923	0.2504204709247363	0.038133320484557254	0.5273229153135773	0.9024906488943492	0.8053995314262777	0.6999960903338218	0.042060832459372685	0.8248427847417281	0.6824453700178921	0.9150316946417506	0.5458160472880995	0.5349876886204664	0.1287279793949496	0.7612306227098735	0.6980409843176263	0.41781726031836713	0.5836161136407336	0.7463399970377731
katG	0.5934145066960985	0.034069797896238846	0.04389048447777563	0.17690770720700608	0.3167917698176466	0.07059079135338046	0.006832436258134492	0.10626709210964962	0.04422925299716403	0.03905939423002806	0.2875280241524608	0.05825016825393381	0.2852994197633664	0.3648666915934324	0.21837760469564835	0.15592345810122588	0.21949923281861933	0.7013255933066902	0.08519099196519654	0.2288331432114739
fixABCX	0.06238920614806636	0.9999995	0.9999995	0.009199212155792495	0.9999995	0.09891508061938947	0.8458024621464358	0.002383291314442903	0.043583920990973024	0.9999995	0.9996174913930831	0.605732982799678	0.9554840994835415	0.047425351012686814	0.0038776677963802374	0.8340116895135214	0.9999995	0.003946223534346704	0.4014559645318543	0.5522598274842576
