GENE	exp_0_smpl_0	exp_1_smpl_0	exp_2_smpl_0	exp_3_smpl_0	exp_4_smpl_0	exp_5_smpl_0	exp_6_smpl_0	exp_7_smpl_0	exp_8_smpl_0	exp_9_smpl_0	exp_10_smpl_0	exp_11_smpl_0	exp_12_smpl_0	exp_13_smpl_0	exp_14_smpl_0	exp_15_smpl_0	exp_16_smpl_0	exp_17_smpl_0	exp_18_smpl_0	exp_19_smpl_0
argR	12581.588669038834	3237.049131678365	11161.435351326132	9834.583608778463	1624.566578144218	5483.703254497878	1623.622412540071	6164.806256123649	9157.026546690162	8520.771268525563	4666.203965524851	2747.8410838253853	9170.130529121687	8880.515320924012	3929.2169897499907	9779.444650586502	9769.239085197114	6023.753390701255	12044.041042443232	11203.239575957952
fur	36.024474183695716	20.63222484616672	177.58064962356667	262.4115735639533	108.79215282969538	191.53550214661212	89.85515960599635	257.55268748657414	173.01407209402575	207.75571405163822	136.01058398556583	240.0190154475068	36.62075072710703	28.527552565681567	191.10268008294554	235.7310705914103	58.20136893980525	201.87425912523187	152.6166272320556	169.5216880947992
fecIR	3252.738613312856	3280.583134742454	593.8213296390127	76.17069955338633	1982.4603897639433	710.7746271442245	2329.86107799197	90.15310954576569	729.7844431448888	500.60023266050547	1104.1432167045846	166.3461384915497	3209.2973271068927	3266.567793531021	753.719603690769	196.957566346824	3122.5349459488034	426.8932636503901	1204.1592663105698	754.5621105952512
nlpD_rpoS	19533.562466947635	422.6824209439499	2410.9306826120373	4668.311784272702	10100.377487437703	7205.969386278528	2326.505466921961	6890.857468932609	1907.4190799804555	5567.081108430011	18718.585522398487	7500.509917941197	12543.480116856495	15981.590981092593	5695.100463399512	16290.39398513736	18090.689804991332	16515.646284681592	5529.941577734366	19021.652870462807
dps	12.420191971513553	3504.181685653468	3470.0456640897346	3215.0496404423457	1361.31394701053	2113.628732378229	3472.848799717529	2467.5762131385586	3481.231019272429	2893.452499929896	58.31318925439363	2539.3881833787254	681.7403934999179	349.5405669040356	2787.345334047164	260.09959374561845	111.7546548103101	170.82789192858453	2786.756097115824	32.08126627019556
crp	1920.9448165407694	406.73833565546636	103.11040520708337	2181.056484690402	206.35201114687555	1618.3346433172876	1017.3478850913965	2334.9557635604274	1728.6945007426789	527.5969366233984	638.7389778822298	1185.3094533755711	880.9302162691095	1843.3228809035177	2303.5006878164972	1158.1667521763172	481.88359877850314	2244.766705608049	1318.6210305406053	1331.121151762913
caiTABCDE	445.74545045956563	2165.359961101739	2342.4915325794104	134.83308235288857	2276.2889650630214	661.3451797483922	1306.327525919404	38.310189744087765	447.88228417333784	1817.8600275438807	1750.4522315342392	1108.043848558221	1619.258028541384	448.4040220578667	53.73226314869348	1263.244217340992	2109.291319033056	60.836798168038406	934.2996394073414	1166.890862286418
glpR	3920.8469962758054	1232.914549654733	4876.1280790429455	3620.8145372663853	4030.371161597226	5945.296656435047	7306.36767147142	6298.719172616055	8561.880226069617	3770.5660223766404	3845.8284528504046	7485.258407441676	963.5187775251767	4337.897370328215	10216.211829575415	10498.26998127583	1892.1942758857476	5207.9909415009	4780.573539995304	9598.732338488591
glpACB	5605.076063346962	7818.548853726412	4197.879372667632	5906.17110545803	5207.3459521381055	2196.2281809280685	1974.4370688780452	2210.324734757575	792.2841379646596	5783.547034585733	5707.0575003753875	1002.3851955323474	7825.221150881413	5347.5389400190825	528.6618478564055	111.35787872136828	7556.578212199698	3227.017068883424	4124.485204544392	424.802252357605
alkA	27.377560345836123	5211.718364806483	5012.246995904652	4085.7878730192206	2124.443974304447	2872.104111588306	5064.528639329152	3715.159833073508	5077.513654223843	4628.309964950352	146.2747800988036	3485.571023812496	1484.5487925573416	701.8024239384952	4103.304047975423	495.6500007717927	231.57230487694915	390.516176527781	3896.8544733212198	100.53377430809056
fnr	153.39440737359493	25.70004485548222	112.77457915833307	427.8566623549948	535.0681239880984	475.73225245682534	426.83231417478805	382.9226751608942	189.39628154703448	189.01577920990428	148.29544249713652	136.82806953674375	57.17933859809937	588.8877302441089	53.98720618613447	282.9408704748154	420.20725503833796	181.81730920205965	592.5722736494143	545.953137330554
arcA	4446.064569785224	4556.281629302303	4523.185419327733	790.6102855465037	366.1123948219171	594.3678442003543	823.4093193667499	1582.8853146714764	4324.843743870636	4264.667611887275	4462.230868182201	4471.304007684488	4555.194628757536	30.32054185379183	4555.397009800274	3577.3989495955766	1214.502347069681	4314.75230337656	13.841032371840665	210.79063879522468
uhpT	72.80596717003864	391.0910576518358	416.99335763736144	22.060323306575967	412.3545928732652	106.87098249042948	267.1942082625664	7.210696234024582	75.36217064629993	375.29980170080546	349.90055782966465	239.22433736331755	302.13912934773884	84.43060463488753	10.254969525079638	240.8562093942252	375.94960980544437	12.431815933694121	180.71294390346762	197.65997133235368
malI	2419.8654809976324	4251.746756499577	3484.220963173615	4482.708548970147	476.4764990112394	1683.0270144653482	2043.7878181781712	3761.822340586627	1405.014300440736	882.0654000911858	4328.539576650999	4422.594437230102	1399.8727189874294	1412.3715781278513	210.46776522462588	4415.091075531284	610.6478573909991	2324.7642911115154	4139.948116959017	3951.9446426088016
rob	5798.135669398125	495.07832979171616	3003.9042219631533	142.10233875901366	4325.626808426662	5341.521438495873	7938.189058850912	6282.022524463054	4341.4328079343895	2285.1263228095763	5218.8407189049985	6076.945011699671	1906.3930272178357	4696.634429983375	3779.6040107519007	815.5038963750112	2825.5392891245065	5789.85229557767	3958.927817867147	5189.91743830923
fumC	1876.270739577832	6962.4822933467785	4759.706100026055	6969.32956885082	3011.226730402199	1677.5835048486742	72.87314212087966	1221.7258710474089	3191.845993151855	5770.685845188474	2357.7129883788657	621.7216815715368	6378.800415895739	3010.7212503233313	4006.342085486748	6934.464083572655	5667.367372713777	1206.158351201431	3138.1444863350516	2112.2661475259124
cysB	293.65480430662865	291.76243221042466	313.2849968831751	39.53327796179821	65.92648302984892	36.00063755952972	194.8451757681076	319.27113322610967	158.24663889175633	179.32192253578438	238.95028109622754	8.505447078692935	120.06956826652194	109.96568572484279	17.310729785168746	3.0468630015681164	332.5393118409524	398.54210055958146	68.71718645503064	135.42117738536717
cysJIH	3067.5954351098667	2825.2591320349393	2954.747155399959	17325.71652714066	17073.210323346328	17335.031680680815	10960.999632941264	2790.5242885047796	13533.683117805942	10352.020720682234	6571.5216428828335	17357.09885890351	14842.200943761423	16569.961505610587	17355.214313068656	17357.09885890351	1712.7107252836422	174.50090428837	17087.224110875773	14766.269310999156
tnaLAB	396.32815358934926	11.630045245119296	0.030032654343352644	414.57302418107713	0.8445502909228392	377.9544277543266	216.60024234776228	418.5154110932677	382.6364681220216	24.587677149142433	65.19837753544081	275.74208776493555	168.13136319992043	403.9849038455385	418.0067657688282	248.28971091905026	19.919018347898394	417.45163844145645	320.12838021604534	302.9655133593863
rpiR_alsBACEK	7.673996067587531	318.1210321797889	87.39263103592236	197.95677183971645	94.07661756044165	157.21044296729843	258.98037139071096	9.883326672392673	55.73357703287663	262.9687054242144	199.41714905497648	322.27524627993347	186.60412479522307	115.70697714805834	399.37418065201	156.15239286610955	161.20060805482382	397.85902683847365	137.7352929685809	3.6663686966634725
caiF	7819.98424337552	75.30576561916374	0.1425362961992283	9233.644270100232	6.052211947420826	6851.887775022735	3154.8732011574184	9390.55748456894	8447.83407136038	173.41273406963387	509.4526224296333	4388.318203111547	1592.6435527317196	8015.78495534722	9337.176646955682	2920.9190437025995	124.88710048125365	9319.638713892598	4923.922461485881	4527.413532633282
fepB	916.9583229403042	931.7419191297942	239.77235311479282	37.68610846024969	578.7620612574692	317.7293375660223	654.9120984599995	55.14219028114437	275.4202804361027	207.11686098178478	509.38615459231187	82.0214024670465	905.3955024363735	919.8553164840822	269.6284066356724	94.80412825083691	854.3149291738692	183.20037889019042	398.7880376225001	299.88647099470325
acs	6.715840343139066	3380.8550076798465	3352.0062916988845	3007.569553933274	1055.3726158997997	1763.832650466263	3350.9819765562956	1941.3179847728227	3360.418875690673	2679.210107719257	35.40580233179141	2090.365007287003	509.12583810876635	195.69163711806715	2616.9133728868915	142.09396412574563	61.71991143704806	94.83464471477944	2746.6738327214375	19.096818550177368
himA	2539.1897937327935	5315.820620031901	8010.298249095925	2527.907294972512	6617.026198577641	5509.683057741863	1474.605900900886	2118.8138722994013	1906.810246097974	3165.067934610674	5295.166460335213	1232.0678164663113	5075.164367370804	1242.3065736030326	2523.655496248852	2740.618898722442	7005.0394030308635	7786.193721852658	4996.633063314897	6194.482035185882
ompR_envZ	1770.1745058210465	357.1940353734073	33.87116892940849	1651.622689944702	122.40996567051836	411.463696742009	2124.642479593698	1859.1763245617094	2031.7674788805405	1308.3550077630512	327.577819027026	2140.1959369999804	434.82402498113385	2145.0269420326713	1807.6126806526936	1610.8624007871713	118.25803350225065	39.68913581466133	486.844350564713	169.07040527786293
fhlA	598.1389678172719	2306.690448783848	4291.398366849029	1731.6615056439314	501.2570244389628	1567.6167539865212	1674.0430435830392	2112.1780807009977	2373.1769480802495	2384.197667939368	1720.4738044176163	1250.9793014427987	3261.002107846278	5032.800168192946	3074.403543721981	3181.373003737696	3780.7330974104184	398.5820498261593	1282.2453973230806	4610.319861214706
fdhF	3297.586508131834	2269.06247719197	317.8480800009524	2638.724655942224	3301.6121895734973	3099.828184105712	2668.7319370368227	2458.6799547415494	1934.7593456316627	1972.4894375126314	2838.3317868254794	3060.28929747857	817.5168246368092	122.42146550674659	992.612517288662	1069.2862361942894	558.9514423149224	3304.963325256319	3126.5000308584367	179.30536070349885
narGHJI	1462.9903379912016	385.9645520654306	51.03401604048409	1483.523178815795	133.09626681818762	422.93656986053077	1710.433356811982	1574.5910292403685	1648.515130002741	1184.6334666567052	336.3135606595937	1726.6461794612505	558.362032971288	1736.5080743906908	1493.6841924701534	1289.528920312103	154.0456708567492	53.80262614678181	529.5404707094642	203.88280029352728
glnALG	9.751685213137087	29.494582417271936	37.30712324805633	30.38547969706411	12.892811999561127	18.968412884833036	6.039065867089305	4.118332915097491	2.850315043929857	20.172957898663874	20.751473099013737	37.27172684746998	35.53891438144367	42.688953778836506	44.52007783452684	38.29294971636519	41.1891252366229	16.67335735161538	26.663179093605358	11.632670025721284
nac	53.82298935141427	589.4716734214907	848.6394979641532	827.567910257401	142.02873339069882	294.8525217081443	10.828069642242708	3.5866112970430146	1.2235421112268872	280.89346278191175	339.134502203651	881.6470860492904	772.9639319749533	911.0274251259526	929.6585827211934	870.7226000754299	869.8929397010199	203.69240031378314	601.3725654248044	75.44654155154167
metR	383.0828480210094	68.1601190025503	279.38280883513227	250.27348294035764	281.23329484150685	253.85990120709423	298.6735163716158	253.35937022534264	196.48237313628644	390.94923768690757	11.552158343619546	216.70584350475357	57.03319760139861	142.81815046509794	88.63399264068543	200.48939838865053	360.29654066890583	217.2095897041261	85.71424148075806	358.28933368762574
metH	373.5129579081486	10939.86203429263	1880.1659627598285	3510.268346697745	1996.3612545675153	2813.0661138611626	2184.4049217292995	2596.6065253879956	6491.381218961435	276.9047130806987	11089.464765862078	5406.724616415432	11042.162148908976	8639.500924374055	10745.490332974996	5882.5432082690295	447.1194940734326	4246.527556792188	10846.458199020391	537.4787872192048
osmY	58.404575745587636	10202.126923287144	9940.967630017192	8669.37577835124	4299.390297980572	6213.268269573508	9941.350946315457	7467.416354762031	10014.45654917588	9214.861018683392	293.9305994543862	7004.311986052858	2797.0434424058185	1341.4081909250847	8240.617387534932	996.8334676530708	485.56930545436273	819.567490320019	7725.8666535230395	171.48326696897007
rpoE_rseABC	180.62659384826864	8254.270925704524	7963.289743698831	657.8382877648728	3971.6975860047505	1035.0701743177328	5796.243973896751	599.4675778575083	6523.067277582006	3870.524986163203	6751.915800594143	4181.105198718668	5829.504818494666	7637.858623789917	3445.729980960289	8633.722102725782	5946.954928046568	665.8023373869902	8478.59600729571	3498.644474703973
ecfI	4719.582247242637	81.13414945611018	201.8097128836487	4718.632851336741	2881.582251151537	4711.28738179842	1162.788068484579	4718.980633952748	570.4089126270636	3153.1429789889808	636.3590187454184	2807.204759013831	1258.3784053062789	380.0105166195153	3939.1664280050095	35.81877517865977	1334.836787193855	4718.636516280211	51.70278237258206	3441.4316674725505
cpxAR	98.4076290329526	16692.468512419015	16221.864261350323	13919.465033515506	6895.672920188499	9457.42339755319	16320.151742367472	11775.119324230795	16431.644089161724	14726.589458022218	496.7058254321214	11857.47891386573	4591.437042302503	2431.2141544992915	13216.187643831163	1705.882782063889	852.7378803277811	1483.2877019693758	12872.105336050434	331.87577987514504
rpoH	710.7849693651482	610.527365559978	295.49500846064745	336.549513466474	525.1195074191113	457.7854080597765	91.92906619367008	178.1552358230185	443.32364556824456	672.9582951897103	697.9088893565944	645.4037628300556	220.8824458737469	35.220620145880645	131.31025159986123	587.2320866259583	418.93629395616614	706.4497195919029	413.67850366583724	230.17132583500998
htpG	22.185709399089067	31.01887433639382	235.86147737077664	189.2370794793429	66.61338812928851	126.88946826996673	281.14937150594125	273.8549712468266	145.60693740177413	20.909557284283107	17.950653895061567	15.223568091761985	266.2196264381952	281.7330277420433	278.8935274862287	56.293922734899645	159.03672379286508	13.546975754317632	152.39171988474877	244.0369193745379
deoR	1290.7931064074164	19.762432492407424	1727.9553891927521	881.5729038011849	2349.3743606477387	2516.926076661941	2081.2747929484403	1452.6184310828962	267.4183971436908	914.7303363325684	2175.2711296014613	397.1751133127045	2545.4147887737395	661.090918310396	436.58712429809316	2349.7621111815743	1854.8404248966451	317.9911881837125	513.1023863699974	212.41632618071696
nupG	4124.514739735382	6547.178469087369	2346.3270974571515	5757.512862588673	685.3538318439263	484.4853401116051	1328.4464958299275	3313.711653286034	6516.525374639101	5610.7510153012745	1151.7410419978726	6482.5246373992895	492.179184120665	6269.8518879132	6409.254481440848	671.4849730925857	2323.297851032954	6502.9454721915645	6088.69849832931	6531.955089603955
