GENE	exp_0_smpl_0	exp_1_smpl_0	exp_2_smpl_0	exp_3_smpl_0	exp_4_smpl_0	exp_5_smpl_0	exp_6_smpl_0	exp_7_smpl_0	exp_8_smpl_0	exp_9_smpl_0	exp_10_smpl_0	exp_11_smpl_0	exp_12_smpl_0	exp_13_smpl_0	exp_14_smpl_0	exp_15_smpl_0	exp_16_smpl_0	exp_17_smpl_0	exp_18_smpl_0	exp_19_smpl_0	exp_20_smpl_0	exp_21_smpl_0	exp_22_smpl_0	exp_23_smpl_0	exp_24_smpl_0	exp_25_smpl_0	exp_26_smpl_0	exp_27_smpl_0	exp_28_smpl_0	exp_29_smpl_0	exp_30_smpl_0	exp_31_smpl_0	exp_32_smpl_0	exp_33_smpl_0	exp_34_smpl_0	exp_35_smpl_0	exp_36_smpl_0	exp_37_smpl_0	exp_38_smpl_0	exp_39_smpl_0	exp_40_smpl_0	exp_41_smpl_0	exp_42_smpl_0	exp_43_smpl_0	exp_44_smpl_0	exp_45_smpl_0	exp_46_smpl_0	exp_47_smpl_0	exp_48_smpl_0	exp_49_smpl_0
argR	0.8918109666493206	0.22944923659103897	0.7911473432886025	0.697097142932452	0.11515288955569193	0.3886970738636761	0.11508596499932147	0.4369751683274045	0.6490703925437667	0.6039712043902049	0.330750907420622	0.1947730829251663	0.6499992319412882	0.6294706623326902	0.27851163267059575	0.6931887710329466	0.6924653778769206	0.4269770277451618	0.8537083962105039	0.7941105196377604	0.34030072522616145	0.9046268240625461	0.5074021233179314	0.6059651429492606	0.9198180781695048	0.2626305939844355	0.8314856259217954	0.8458331113630903	0.27225258362981525	0.4304102197658551	0.9589438859334736	0.34941012892060425	0.9497396664753495	0.3215337052432598	0.8922033651892343	0.3232342588683578	0.6955438913227637	0.4183290759466646	0.17807231834097012	0.36074379697083464	0.9682665236960918	0.17449254385661708	0.4692411242304822	0.19094931974860116	0.37182082648103865	0.03969958916892723	0.8954838410333503	0.7975974212853505	0.26551021367825595	0.1730587266444503
fur	0.12991609013135538	0.07440658173265252	0.6404141685577032	0.9463423523909419	0.3923402479252208	0.690739951771335	0.3240472284096045	0.9288196127571049	0.6239455895884596	0.7492353652243582	0.490498853578945	0.8655874305094025	0.13206645925991017	0.10287972758329518	0.689179053201451	0.8501236925083342	0.20989325907702394	0.7280249063450355	0.5503857016182861	0.6113509054272632	0.724808683139847	0.05442454440331691	0.9900050096484122	0.1777877762112148	0.37387585548687424	0.30151568924438804	0.544590088805777	0.11674303457475085	0.8898237625122268	0.7543044577678512	0.04452424899897891	0.8868828519243631	0.5231482685328684	0.17369894668742175	0.48196150174748736	0.8846403107318664	0.18230962385767294	0.05259778019871016	0.5548758804179375	0.033312091304089964	0.7535870092182848	0.29271946950873046	0.6614044062958818	0.2644384001304937	0.6158658112784438	0.8840073468934532	0.11663810281899648	0.8940410972920606	0.3565692690512179	0.637585885192771
fecIR	0.9888893614501311	0.9973545823884824	0.1805320578415964	0.023157223311540916	0.6027025906447421	0.21608790337313297	0.7083184687061085	0.02740812021186565	0.22186721952514182	0.15219121585464482	0.33567882646568864	0.05057213204877393	0.9756824515555069	0.9930936738222805	0.2291439264611212	0.05987854087639511	0.94930517200708	0.1297830096678577	0.3660854527543267	0.22940006327807327	0.09813345808469874	0.9992694757508049	0.002323480255743817	0.9686819585266497	0.6538960698355544	0.8231018895746537	0.36328400642934294	0.987895495401889	0.04962279233645161	0.12056307608813231	0.9995460332913726	0.03573423857295005	0.34739494531083126	0.9535358937032076	0.42479464735838907	0.04622428406475908	0.9512947102277446	0.9992575212656628	0.3283163616368408	0.9998902175846099	0.08699705058260697	0.8158644350686647	0.17775352785312595	0.8333810407489184	0.2594719637990049	0.038987078814307685	0.993234908736466	0.043270114333647525	0.6172902052485155	0.16435113958625933
nlpD_rpoS	0.9876269845400474	0.0213710410234346	0.12189789773535771	0.23603224952926233	0.5106802907822612	0.36433752561522637	0.11762931532330564	0.34840530468790804	0.09644009163217523	0.28147448972055117	0.9464213302423901	0.379229646681368	0.6342048187273054	0.8080374757813092	0.2879472142798951	0.8236507148009554	0.9146745991974137	0.8350395871449542	0.2795966959095022	0.9617445715399151	0.7219264796766554	0.4802795507358745	0.5922948791856366	0.6891665588088495	0.8578603880023784	0.36713328212823987	0.3084512875929505	0.4879441863163843	0.4982022725998375	0.8642308839256443	0.45095518971265414	0.3182628524881974	0.7980858109081048	0.22791061992187656	0.4413984184939822	0.1517917834989643	0.7154614748180986	0.6545109097513281	0.6198225785470297	0.9514629691627107	0.6411102552468364	0.04298898831117028	0.3382133437330751	0.7680696553779711	0.716177173247613	0.7070014552476755	0.21137692404448635	0.935834056559887	0.9121726758408628	0.5843490469602207
dps	0.0035442002658959983	0.9999460306673049	0.990205046230003	0.9174399088725195	0.38846172941839735	0.6031407189584248	0.9910049432090641	0.7041424392459339	0.9933968760264805	0.8256696146991424	0.016640130952459028	0.7246345543922587	0.19454002719573138	0.09974417247366855	0.7953910935299384	0.07422148155414741	0.03189007691686655	0.048747093554139226	0.7952229500991832	0.00915464372095783	0.12891090342369768	0.5424741963905436	0.22921690908386	0.12484378716424818	0.044876235940535046	0.6787830861443198	0.6480445627947964	0.3788920459105399	0.3886368083351087	0.04136608326369197	0.46592116926201216	0.7763829502367039	0.08273258460101224	0.8832566234193002	0.5988065090338223	0.9762998161284222	0.15113227249926228	0.17184939745242273	0.18627482354300168	0.01369934657118995	0.18908666807418673	0.9994771830150171	0.7438063741504285	0.08842488434416006	0.14646144097184158	0.17298676685878744	0.941326719635789	0.021532808138589796	0.024355209722552448	0.2996940483805811
crp	0.8023856905326827	0.16989609358416408	0.04306959417615024	0.9110352876823266	0.08619399137923103	0.6759843120478027	0.4249499403949689	0.9753195805393079	0.7220820289862956	0.22037917418046185	0.26680361217304943	0.49510810308146563	0.36796778012867665	0.7699627235164113	0.9621806801116518	0.4837704973068734	0.20128454541372676	0.937647280470882	0.5507928374780494	0.5560141839281602	0.5233864884480253	0.33807718671465536	0.11887544212368638	0.19564421849436767	0.7859679221962681	0.6687093515506146	0.48537263793612334	0.8798502194419646	0.38271014949364296	0.9187616414029933	0.7796795871650612	0.23529885975144554	0.2172965735365166	0.5498509798058905	0.39804684483798874	0.8705429089468399	0.023608199040683342	0.8887232921582046	0.25134773298695734	0.5698025217536247	0.137462359469384	0.8015791656094458	0.4789995077121413	0.7090864849527793	0.7956452669654563	0.960536413187648	0.5521196413148505	0.9785274686618854	0.115222271516756	0.3816844570916114
caiTABCDE	0.1896630537080953	0.9213527186343152	0.9967215523934305	0.05737098183180157	0.9685526028157528	0.28139994747425356	0.5558375692973901	0.016300845174098647	0.19057226861315515	0.7734927719001595	0.7448110020206469	0.4714685920929799	0.6889883500053082	0.1907942661687397	0.022862880823396332	0.5375057795720994	0.897495717152755	0.025885834407231714	0.3975410685755118	0.49650778052167804	0.4925332312622496	0.7190788999023885	0.9695739893708448	0.9088068932565022	0.13390505733482508	0.2735828367129355	0.5195993330355114	0.1081231660238457	0.7038573318505796	0.07100609849002315	0.1511437504122424	0.9559635765389661	0.8970182888694302	0.4098642748085421	0.5686232223706873	0.09246977592188624	0.9992212646200564	0.06499414334186056	0.802373148372294	0.3540798239618027	0.9616994298201097	0.11149127659426421	0.49499780741606325	0.2213509200209483	0.12373090000466201	0.018776033560677773	0.3805994998636179	0.010412387132213211	0.9775018306089669	0.6735296501230947
glpR	0.34047580882341244	0.10706298381512257	0.423429849013653	0.3144217969602768	0.3499865927966049	0.5162735729595048	0.6344653195772079	0.5469638338055492	0.74349065336881	0.32742581320060726	0.33396140025970705	0.6499997099980382	0.08366937944939733	0.3766913417326218	0.8871483608235458	0.911641532178269	0.1643130622401652	0.4522479275107607	0.41513214981756186	0.8335281024050593	0.5024837395165429	0.5699241356594416	0.7090350250283841	0.10744095793374159	0.7875121759418867	0.31305557049360605	0.9009894181009889	0.9147727630039348	0.3929048268835924	0.6125128115219572	0.8567051122389493	0.9231684235562696	0.6402485303413936	0.515812718354946	0.4467474747717265	0.14622025793107926	0.058677376952238465	0.25413405542740347	0.6042487655356713	0.5943445448338006	0.621473528989741	0.8148795066934676	0.3718375898111668	0.5039068155814174	0.545402121851247	0.3750349338039533	0.9292883835110846	0.9266911643994805	0.9586771987845578	0.8361165287848557
glpACB	0.7118947974310283	0.9930256413156585	0.5331682303452316	0.7501365610732424	0.6613795156130372	0.2789406242313328	0.25077116908025116	0.28073101266130535	0.10062717250038038	0.7345622072005717	0.7248473521572394	0.12731188616470876	0.9938730827380187	0.6791852790997118	0.06714478355616067	0.014143446693453066	0.9597530265152853	0.409860033404694	0.5238465144830006	0.05395368590409118	0.529794306600737	0.282645691694072	0.11005618850782575	0.9884215261846625	0.04833499587142701	0.7718498982180104	0.02857867717155767	0.02351388340675307	0.5924678394804077	0.20867399632873548	0.05781900487564809	0.0211932843459813	0.23606947682395735	0.3942688115477945	0.44472330878677824	0.9726938240782126	0.9982253419453987	0.8508085135688398	0.28152645193754605	0.264589461792068	0.21019831109203502	0.06419872040287268	0.5507863340168055	0.3606941863860387	0.271566870091669	0.5551670907850295	0.02230487823418073	0.022347224791739125	0.009734736359608882	0.033457182368059155
alkA	0.005250478087319824	0.9995051686868279	0.9612504798746438	0.7835738256344377	0.4074266075545554	0.550813129873681	0.9712770717148899	0.7124946506568459	0.9737673424076351	0.8876189019520045	0.028052628427613146	0.6684640286112212	0.28470728605534457	0.13459191403361953	0.7869330837867146	0.09505593030052996	0.044411017527772004	0.07489332875910826	0.7473401122375439	0.019280402357709257	0.19280007638692168	0.5035096067056225	0.2805655778825094	0.1553731377809496	0.06692507824969482	0.6361877152256572	0.7943791872215609	0.4737559516607548	0.42639125497117375	0.06561704201885966	0.36834605286945055	0.7252200283276529	0.13642962168485578	0.8654933860284949	0.6117303881449533	0.9596772776012845	0.18420897563798605	0.23569648674640173	0.23735194976560145	0.023268998808749275	0.2887958241206337	0.9972594082220738	0.6500004441966832	0.14557852178101613	0.19178572336019775	0.24315474091501274	0.8904323432880114	0.037033903836453136	0.037814318197558844	0.3150997239811673
fnr	0.25684685769004384	0.04303270162612244	0.18883215353209212	0.7164122939631202	0.8959294452094015	0.796576200120161	0.7146971035870732	0.6411738702689583	0.3171291613980215	0.3164920401932204	0.2483090424696978	0.22910782932727083	0.09574230048653615	0.9860461384165052	0.09039732609417207	0.47376221035586313	0.7036039636848889	0.3044387689341981	0.9922156162474042	0.9141555430234815	0.7738448315388339	0.6440266551679827	0.3481675221838305	0.09639279508176091	0.7901987646576952	0.0703464238535253	0.3285973928007993	0.4251133632891096	0.6394127453380614	0.5190984567906454	0.3823977867784564	0.11548168879932137	0.9631041682166008	0.39091563784317707	0.042903912122885475	0.3912411077076473	0.14779345003302108	0.10965719961533363	0.6710962477306148	0.6189166677957606	0.13789132908036453	0.2878805968836728	0.9256838535930465	0.8668377542243285	0.8949043545340228	0.2807152255255177	0.7691879111785213	0.43083017098194226	0.9228515722335576	0.9638251684341175
arcA	0.9758093788934109	0.9999995	0.9927356396596696	0.17352085638359133	0.08035328839446246	0.13045013354616677	0.1807194933619978	0.3474070858677808	0.9492041829975775	0.9359968997804269	0.9793575112585966	0.9813488576467052	0.999760928267674	0.006654664737693978	0.9998053462729716	0.7851571636593286	0.26655545873367875	0.9469893428561218	0.0030377897104319107	0.0462637190915222	0.22581497505546724	0.366452314077177	0.9204547560706452	0.9996998849718594	0.13692352559506898	0.9999268478155136	0.9326455355135705	0.7436987189384414	0.42276023007568875	0.6698880902328718	0.8825106638356057	0.9994297077662992	0.018290108779902725	0.8506219760512646	0.9999995	0.9145003122636038	0.9977605361493281	0.9996276220808814	0.2932417560971466	0.36633526474572925	0.9980555001494382	0.9726326384120074	0.04113311000021413	0.10431925054076441	0.0674491848026743	0.9682849182097667	0.21114809753267938	0.7986970977684211	0.026567165595617698	0.018403160879191412
uhpT	0.17436420279547848	0.936630377131582	0.9986642194538379	0.05283262947085153	0.9875547657718565	0.2559470657177369	0.6399077840208124	0.017269014468411024	0.18048609635236731	0.8988116397111984	0.8379825747135977	0.5729222822658553	0.7235979476654548	0.2022042373851014	0.024559794415701174	0.5768304793105962	0.9003678757800193	0.02977315952023706	0.4327923880876511	0.47337910154328744	0.49038896599731097	0.7675462321001124	0.9737491232359553	0.9481940741068103	0.12882133412282656	0.2737781978972222	0.5292059458553903	0.11469533379047343	0.7128223957331431	0.0705458575852388	0.15920372723122014	0.8864796765606129	0.8582954947213883	0.46227162223087986	0.5720243174482877	0.09458613997232637	0.9997523075575027	0.061776388365322295	0.8469429449549473	0.36980015328820576	0.970674502121136	0.1257755142995912	0.43988661618767494	0.2106664649558674	0.1360462508187148	0.02011580020836963	0.3902606840108191	0.010723871847077331	0.986794837960439	0.5826935983586587
