GENE	exp_0_smpl_0	exp_1_smpl_0	exp_2_smpl_0	exp_3_smpl_0	exp_4_smpl_0	exp_5_smpl_0	exp_6_smpl_0	exp_7_smpl_0	exp_8_smpl_0	exp_9_smpl_0	exp_10_smpl_0	exp_11_smpl_0	exp_12_smpl_0	exp_13_smpl_0	exp_14_smpl_0	exp_15_smpl_0	exp_16_smpl_0	exp_17_smpl_0	exp_18_smpl_0	exp_19_smpl_0	exp_20_smpl_0	exp_21_smpl_0	exp_22_smpl_0	exp_23_smpl_0	exp_24_smpl_0	exp_25_smpl_0	exp_26_smpl_0	exp_27_smpl_0	exp_28_smpl_0	exp_29_smpl_0	exp_30_smpl_0	exp_31_smpl_0	exp_32_smpl_0	exp_33_smpl_0	exp_34_smpl_0	exp_35_smpl_0	exp_36_smpl_0	exp_37_smpl_0	exp_38_smpl_0	exp_39_smpl_0	exp_40_smpl_0	exp_41_smpl_0	exp_42_smpl_0	exp_43_smpl_0	exp_44_smpl_0	exp_45_smpl_0	exp_46_smpl_0	exp_47_smpl_0	exp_48_smpl_0	exp_49_smpl_0
argR	3182.103732844019	818.7063173239256	2822.9221308715205	2487.3381284091274	410.8812892037803	1386.9244222621417	410.64249321605485	1559.187278800926	2315.9721019714893	2155.0520187492843	1180.164560096251	694.9770494103191	2319.2863282196486	2246.0375788497	993.767669499941	2473.3925219119506	2470.811356005511	1523.5125431696872	3046.148540366567	2833.4951501259898	1214.2396186270537	3227.8324682367265	1810.4803047324142	2162.166664755121	3282.036944530573	937.1019473071096	2966.854650815598	3018.0484448896977	971.4345248520874	1535.7626427459065	3421.6431879972106	1246.7432192600204	3388.801271726933	1147.2763197047248	3183.503864604355	1153.3441280639975	2481.795913825464	1492.655466133681	635.3864328871911	1287.1832999028443	3454.907637004648	622.6133069946061	1674.3166308302305	681.3333384304293	1326.7076590679674	141.6535741441407	3195.209051936023	2845.9368930107457	947.3768249656621	617.4972507072583
fur	1649.9242438598528	944.9578029889735	8133.2101493076325	12018.474298468249	4982.690644702315	8772.343683356054	4115.374606548127	11795.936867488914	7924.0604768090025	9515.230886266536	6229.297304799689	10992.893069163667	1677.233764604074	1306.564541541788	8752.520392876377	10796.504798835775	2665.628071348163	9245.859707584945	6989.855618774166	7764.10896718225	9205.013922936256	691.1874824840284	12572.986650922865	2257.8909351122497	4748.194296317998	3829.2258109479735	6916.251786656717	1482.627462479046	11300.692601255998	9579.607967453494	565.4545005841278	11263.343265442132	6643.942336264636	2205.9631180612973	6120.873600308265	11234.863166652109	2315.318048654449	667.9877191140822	7046.88054042413	423.06096958983045	9570.4964266547	3717.5145041998558	8399.784536618603	3358.3471219128983	7821.447920464138	11226.824575116381	1481.294837339274	11354.25242506755	4528.4019941499255	8097.291170468377
fecIR	16007.465688661161	16144.49490446634	2922.3296702929288	374.85331732214127	9756.137962759782	3497.883417319573	11465.775673661985	443.6639334847015	3591.4350405987884	2463.5674736518104	5433.739613883519	818.6271388197296	15793.681250044672	16075.522226293344	3709.2254033480863	969.2729297445538	15366.703861277445	2100.8387340550616	5925.941316113948	3713.37157122975	1588.517405927924	16175.491890569894	37.61091171772751	15680.362049402433	10584.823044808207	13323.811307179161	5880.593416061668	15991.377663765203	803.259875843416	1951.5927453908066	16179.968615180509	578.4414517596936	5623.392145024997	15435.187895011739	6876.285666927203	748.247144720519	15398.90914737423	16175.298379527914	5314.561060926966	16185.540035482263	1408.2488461334594	13206.65633596178	2877.3527242469786	13490.20318694346	4200.154961310664	631.096208281568	16077.808440637435	700.4270624618686	9992.272306349938	2660.4040152292396
nlpD_rpoS	3061.9499191648442	66.2568544182186	377.92128400680434	731.7731680883569	1583.267265432254	1129.5593119357766	364.6873548249095	1080.1644864154532	298.9941905191182	872.6582045023698	2934.199612803374	1175.729505347312	1966.2316075136412	2505.1667505854984	892.7256578541933	2553.5726332744684	2835.774901775268	2588.881669275876	866.8364613767226	2981.7064126243113	2238.195959295664	1489.015543896986	1836.297798494055	2136.6300456225576	2659.633228755804	1138.227024101431	956.2946435200706	1512.7782910308135	1544.5815395832349	2679.383741634275	1398.1009311229873	986.7135373009784	2474.313503427357	706.5935977555322	1368.4719767520035	470.6016000879074	2218.152439410191	2029.186786688415	1921.6422029643988	2949.830256888826	1987.6406021277596	133.2791948223938	1048.5662468874843	2381.2541131536746	2220.3713264826406	2191.9237552558657	655.3340133701906	2901.375781231565	2828.0181635134886	1811.6632545608106
dps	7.216158694512568	2035.937221910627	2016.1041187373285	1867.9508714018928	790.926379979628	1228.0229153546695	2017.7327466666552	1433.6671756485157	2022.6028345573366	1681.1022295321097	33.88009046945275	1475.3900873883015	396.0926593758071	203.0838337068015	1619.45373413116	151.11843272241367	64.92969881715875	99.25137875751226	1619.1113861855756	18.639285854647937	262.46867184950526	1104.5030176483854	466.69642438973017	254.1878315596295	91.37013031554014	1382.0343381555801	1319.4492566466308	771.4420535679823	791.2828489013223	84.22329411618554	948.6374483067067	1580.7522589882653	168.44743944997208	1798.3520919808059	1219.1982597808242	1987.792415230542	307.7124260474837	349.89346835330207	379.26431539804815	27.89251494055787	384.98936331832954	2034.9826260050247	1514.4248155239504	180.037229868574	298.2023930333985	352.20920604160017	1916.5855433283582	43.84181169493637	49.58835427197363	610.191199894984
crp	2165.3889430765444	458.4966143586303	116.23141353619505	2458.600348904795	232.61072336461302	1824.2710111514562	1146.8074682157128	2632.0836233555024	1948.67438441378	594.734717586884	720.0198091629247	1336.1424869484745	993.0303741709143	2077.8894585927665	2596.6258253838782	1305.5458219344653	543.2042647242587	2530.417824736542	1486.418232868703	1500.5090198860237	1412.4570370748038	912.3649769132074	320.80777488327016	527.9827799811684	2121.082502364643	1804.6381597586656	1309.8695002412512	2374.441567468978	1032.815435138858	2479.451369946712	2104.1122456569287	634.9982997404229	586.415739034452	1483.876452508823	1074.2043967240686	2349.324036743145	63.71117253438075	2398.387225744744	678.3092075283514	1537.7194470196926	370.96807283117073	2163.212383634247	1292.6704077317174	1913.6034606778906	2147.1986402878256	2592.1884613347506	1489.9988629718312	2640.7407137712657	310.94900579908114	1030.0474109672377
caiTABCDE	855.2018896296645	4154.433721204308	4494.276235546512	258.68913904538533	4367.260781367497	1268.8489514254734	2506.3043660674666	73.50147180960813	859.3015932339488	3487.724505174248	3358.396714023981	2125.8796743803787	3106.6890853936234	860.302593298628	103.0900773781637	2423.645245554249	4046.8610951759993	116.72075328796764	1792.536112881655	2238.7828510421486	2220.8613741354197	3242.369148689369	4371.866273554189	4097.863855011062	603.7857971007832	1233.6011381913124	2342.904022552476	487.53372936116574	3173.7342010465436	320.1706838346977	681.5160803917131	4310.496119774125	4044.708342902537	1848.1021762278856	2563.9556294772697	416.95167063870497	4505.547585332069	293.062423672492	3617.9478251583196	1596.5667989186654	4336.359420341994	502.72073847015497	2231.9742932974273	998.08434680444	557.9099219420063	84.66224215473687	1716.1455808700741	46.950067379645205	4407.613377035718	3036.984896348804
glpR	3977.9788398921146	1250.8797192494792	4947.179611308699	3673.5745174704716	4089.0989148451254	6031.92736636855	7412.8309574925925	6390.499708580544	8686.63796402828	3825.5080766164538	3901.867178654319	7594.328364307583	977.5585001083921	4401.106180674703	10365.075332066788	10651.243438128839	1919.7660091271273	5283.878147583567	4850.232718265382	9738.598361161303	5870.812643324629	6658.758399992275	8284.07262193524	1255.2958128659075	9200.96726660248	3657.6120912596407	10526.788533253308	10687.827446873427	4590.537850062167	7156.346912919428	10009.388979178468	10785.918879975585	7480.399605397615	6026.542931358213	5219.6131277534705	1708.377150269371	685.5622568399261	2969.197425449114	7059.793210091187	6944.076382767054	7261.040237829283	9520.715864925309	4344.396946311307	5887.439276779705	6372.25331060681	4381.753394016399	10857.42196645145	10827.077130193546	11200.788755684953	9768.840466769425
glpACB	1280.2820023975546	1785.8718185377688	958.8575334788675	1349.0565487318554	1189.4345816957896	501.65089312303104	450.99053350610455	504.87075382782393	180.96937689290095	1321.0474032315572	1303.5760660160545	228.95955573232658	1787.3958695703782	1221.4567268402702	120.75415953599577	25.435781127830918	1726.0338620653429	737.0982709294616	942.093223509269	97.03109683521879	952.7898197336259	508.31414056820336	197.92665701099358	1777.5917106335507	86.92636260787334	1388.1061314212557	51.39631047608552	42.287711387660636	1065.5028167411476	375.2823631134027	103.98254293465399	38.11431213961427	424.55079540372844	709.0587897999344	799.7968946269281	1749.3067814296555	1795.223036102688	1530.1064586222592	506.3012834412529	475.8415529638137	378.023713049494	115.45591652777006	990.5421884707108	648.6776934821114	488.3898259693121	998.4206054327083	40.11341882528258	40.18957549295475	17.507092065102267	60.169885482143805
alkA	4.135437142268243	787.2408435450756	757.1102805089437	617.1667128872808	320.9016584029833	433.8372692631124	765.0075309339394	561.1825805176962	766.9689443035049	699.1157975073897	22.095108218425143	526.5027157936822	224.24416707330266	106.00870836654163	619.8125673604084	74.86895825868208	34.97947584122295	58.98827655456831	588.6279319054701	15.185834642469246	151.8552374969779	396.57956750414877	220.98203103054058	122.37663584233546	52.71223872191695	501.08090410904646	625.6773461857882	373.14467869127265	335.83879479559306	51.68198937653028	290.1206181438997	571.2054772128254	107.45614312413193	681.6890643946655	481.81756520388876	755.8711782776129	145.0886237640459	185.64176240391794	186.9456557148497	18.327375209791196	227.46442471300364	785.4720139101113	511.9602319479374	114.6620966848059	151.05630202627916	191.51611151887542	701.3317499606746	29.169035448091318	29.78371367007463	248.18218082219678
